10000,0.092,-0.041,-0.028,11.265,2.235,9.82,b
10000,0.092,-0.041,-0.028,11.265,2.235,9.82,b
10000,0.092,-0.041,-0.028,11.265,2.235,9.82,b
10000,0.092,-0.041,-0.028,11.265,2.235,9.82,b
10000,0.092,-0.041,-0.028,11.265,2.235,9.82,b
10000,0.092,-0.041,-0.028,11.265,2.235,9.82,b
10000,0.092,-0.041,-0.028,11.265,2.235,9.82,b
10000,0.092,-0.041,-0.028,11.265,2.235,9.82,b
10000,0.092,-0.041,-0.028,11.265,2.235,9.82,b
10000,0.092,-0.041,-0.028,11.265,2.235,9.82,b
10000,0.092,-0.041,-0.028,11.265,2.235,9.82,b
10000,0.092,-0.041,-0.028,11.265,2.235,9.82,b
10000,0.092,-0.041,-0.028,11.265,2.235,9.82,b
10000,0.092,-0.041,-0.028,11.265,2.235,9.82,b
10000,0.092,-0.041,-0.028,11.265,2.235,9.82,b
10000,0.092,-0.041,-0.028,11.265,2.235,9.82,b
10000,0.092,-0.041,-0.028,11.265,2.235,9.82,b
10000,0.092,-0.041,-0.028,11.265,2.235,9.82,b
10000,0.092,-0.041,-0.028,11.265,2.235,9.82,b
10000,0.092,-0.041,-0.028,11.265,2.235,9.82,b
10000,0.092,-0.041,-0.028,11.265,2.235,9.82,b
36523,0.03,-0.14,0.02,-41.55,15.91,13.07,b
36527,0.05,-0.15,-0.04,-30.58,10.61,10.49,b
36531,0.06,-0.16,-0.09,-22.67,6.93,9.01,b
36534,0.07,-0.18,-0.12,-17.16,4.49,8.23,b
36538,0.08,-0.18,-0.14,-13.53,1.44,7.43,b
36542,0.10,-0.17,-0.16,-11.58,-2.32,6.39,b
36546,0.11,-0.16,-0.17,-10.62,-6.46,4.97,b
36550,0.12,-0.17,-0.18,-9.89,-10.78,3.20,b
36554,0.12,-0.17,-0.19,-8.10,-15.09,1.58,b
36558,0.12,-0.17,-0.19,-5.31,-19.66,0.43,b
36562,0.11,-0.18,-0.19,-2.82,-22.13,-0.12,b
36566,0.10,-0.18,-0.18,-0.55,-23.58,-0.56,b
36570,0.09,-0.18,-0.19,1.51,-25.28,-1.33,b
36574,0.09,-0.19,-0.21,3.53,-26.33,-1.64,b
36578,0.09,-0.16,-0.19,4.53,-28.21,-1.90,b
36582,0.10,-0.17,-0.19,5.82,-31.78,-3.05,b
36586,0.10,-0.17,-0.18,7.75,-33.91,-4.28,b
36590,0.10,-0.18,-0.20,9.18,-34.39,-4.90,b
36594,0.07,-0.17,-0.19,10.81,-33.39,-4.16,b
36598,0.07,-0.16,-0.18,10.92,-31.85,-3.65,b
36601,0.07,-0.17,-0.21,10.73,-31.38,-4.09,b
36605,0.08,-0.18,-0.21,10.95,-30.29,-3.91,b
36610,0.10,-0.18,-0.21,8.43,-28.80,-3.34,b
36614,0.09,-0.20,-0.22,9.76,-28.77,-2.74,b
36618,0.09,-0.17,-0.19,8.97,-26.84,-3.25,b
36622,0.07,-0.16,-0.18,7.90,-26.47,-2.74,b
36626,0.06,-0.17,-0.18,6.46,-25.07,-2.78,b
36630,0.08,-0.20,-0.20,7.25,-22.71,-2.44,b
36634,0.04,-0.21,-0.21,5.49,-17.27,-3.32,b
36637,0.06,-0.25,-0.28,5.65,-13.33,-2.51,b
36641,0.04,-0.18,-0.21,4.15,-9.95,-1.83,b
36645,0.05,-0.18,-0.21,4.84,-7.62,-1.19,b
36649,0.06,-0.14,-0.17,4.06,-5.15,-0.94,b
36654,0.08,-0.17,-0.20,5.70,-4.17,-1.52,b
36658,0.07,-0.11,-0.15,2.96,-2.08,-2.02,b
36662,0.09,-0.13,-0.16,2.84,-4.58,-2.64,b
36666,0.08,-0.10,-0.14,1.61,-5.79,-4.12,b
36669,0.09,-0.09,-0.13,-0.25,-8.99,-5.37,b
36673,0.10,-0.10,-0.12,-0.56,-12.26,-6.60,b
36677,0.09,-0.09,-0.11,-1.44,-15.63,-7.73,b
36681,0.08,-0.09,-0.11,-1.76,-19.40,-8.45,b
36685,0.07,-0.10,-0.11,-1.72,-21.58,-8.75,b
36689,0.06,-0.10,-0.11,-1.44,-22.72,-8.38,b
36694,0.05,-0.10,-0.11,-1.00,-22.81,-7.64,b
36698,0.04,-0.11,-0.11,-0.32,-21.77,-6.45,b
36702,0.03,-0.11,-0.11,0.29,-20.14,-5.34,b
36705,0.03,-0.12,-0.12,0.62,-18.64,-4.32,b
36709,0.03,-0.12,-0.13,0.68,-17.44,-3.56,b
36713,0.03,-0.13,-0.14,0.86,-16.56,-3.30,b
36717,0.04,-0.13,-0.14,0.76,-16.17,-3.61,b
36721,0.05,-0.13,-0.15,0.89,-16.74,-4.48,b
36725,0.05,-0.14,-0.15,1.04,-17.54,-5.54,b
36729,0.06,-0.14,-0.15,1.24,-18.50,-6.55,b
36733,0.06,-0.14,-0.15,1.58,-19.56,-7.73,b
36737,0.06,-0.14,-0.15,1.98,-20.54,-8.95,b
36741,0.06,-0.14,-0.15,2.53,-21.53,-9.98,b
36745,0.06,-0.14,-0.16,3.03,-22.49,-10.85,b
36749,0.05,-0.15,-0.16,3.46,-22.72,-11.33,b
36753,0.04,-0.15,-0.16,3.86,-22.20,-11.37,b
36757,0.04,-0.15,-0.15,4.18,-20.90,-11.00,b
36761,0.03,-0.15,-0.16,4.50,-18.55,-10.08,b
36765,0.02,-0.15,-0.16,4.70,-15.49,-8.72,b
36769,0.01,-0.15,-0.15,4.79,-11.79,-7.00,b
36773,0.01,-0.16,-0.15,4.88,-7.63,-5.12,b
36776,0.01,-0.15,-0.15,4.70,-3.31,-3.18,b
36781,0.01,-0.15,-0.15,4.45,1.15,-1.24,b
36785,0.01,-0.15,-0.15,4.16,5.49,0.56,b
36789,0.01,-0.15,-0.15,3.64,9.70,2.22,b
36793,0.01,-0.14,-0.15,3.11,13.86,3.59,b
36797,0.01,-0.13,-0.14,2.15,18.07,4.80,b
36800,0.00,-0.12,-0.13,0.73,22.65,5.94,b
36804,-0.01,-0.10,-0.12,-1.38,29.32,7.47,b
36808,0.01,-0.11,-0.13,-2.41,35.90,8.51,b
36812,0.01,-0.12,-0.12,-3.53,43.30,9.31,b
36816,0.01,-0.13,-0.12,-3.55,49.08,9.79,b
36820,0.03,-0.15,-0.16,-2.31,50.82,9.44,b
36825,0.04,-0.15,-0.16,-1.51,50.33,8.16,b
36828,0.05,-0.14,-0.15,-2.00,47.36,6.43,b
36832,0.05,-0.09,-0.11,-7.33,41.90,2.98,b
36836,0.07,-0.15,-0.22,-6.75,35.28,1.06,b
36840,0.11,-0.16,-0.23,-7.24,28.95,-1.25,b
36844,0.11,-0.16,-0.21,-6.98,22.33,-3.13,b
36848,0.10,-0.16,-0.20,-6.06,18.13,-4.31,b
36852,0.08,-0.17,-0.20,-4.96,15.29,-4.98,b
36856,0.07,-0.17,-0.19,-4.41,14.18,-5.43,b
36859,0.05,-0.17,-0.18,-4.54,13.87,-5.89,b
36864,0.04,-0.16,-0.18,-4.81,14.01,-5.77,b
36868,0.03,-0.15,-0.16,-5.39,14.39,-6.09,b
36872,0.02,-0.15,-0.17,-5.02,15.95,-4.79,b
36876,0.04,-0.17,-0.18,-4.75,18.67,-2.42,b
36880,0.03,-0.17,-0.17,-4.85,20.91,-0.91,b
36884,-0.00,-0.16,-0.16,-5.34,24.00,-0.54,b
36888,-0.01,-0.16,-0.16,-6.30,26.67,0.53,b
36891,0.01,-0.17,-0.18,-6.16,30.11,2.55,b
36895,-0.00,-0.17,-0.18,-6.75,31.79,1.62,b
36899,-0.05,-0.16,-0.16,-8.72,31.78,-3.19,b
36903,-0.01,-0.18,-0.22,-8.32,34.29,-1.09,b
36908,0.03,-0.17,-0.20,-8.14,34.68,-0.49,b
36912,0.06,-0.19,-0.21,-6.96,36.47,0.42,b
36916,0.10,-0.17,-0.21,-6.16,37.64,1.78,b
36920,0.10,-0.17,-0.20,-5.75,35.65,0.46,b
36923,0.06,-0.17,-0.20,-5.22,35.70,-1.45,b
36927,0.11,-0.16,-0.20,-4.37,35.36,0.24,b
36931,0.10,-0.17,-0.19,-3.43,33.43,-0.84,b
36935,0.10,-0.16,-0.18,-3.23,35.36,-1.23,b
36939,0.10,-0.15,-0.18,-2.78,34.79,-1.68,b
36943,0.11,-0.14,-0.17,-2.77,34.52,-1.76,b
36947,0.08,-0.15,-0.17,-2.73,32.33,-4.60,b
36952,0.05,-0.15,-0.17,-2.70,33.25,-6.77,b
36956,0.04,-0.15,-0.17,-2.58,34.04,-4.80,b
36959,0.12,-0.15,-0.20,-2.36,32.53,-2.44,b
36963,0.17,-0.15,-0.20,-2.53,29.33,-2.46,b
36967,0.18,-0.14,-0.20,-2.80,24.85,-4.03,b
36971,0.19,-0.12,-0.19,-3.83,19.58,-4.71,b
36975,0.19,-0.12,-0.20,-4.81,13.56,-5.16,b
36979,0.17,-0.13,-0.20,-5.31,9.75,-6.69,b
36983,0.14,-0.16,-0.20,-5.21,8.11,-8.14,b
36987,0.13,-0.15,-0.19,-4.80,7.25,-7.92,b
36990,0.12,-0.16,-0.20,-4.34,6.65,-8.12,b
36995,0.11,-0.15,-0.18,-4.54,8.05,-7.15,b
36999,0.11,-0.16,-0.19,-4.01,7.41,-7.28,b
37003,0.10,-0.19,-0.21,-2.94,7.33,-8.08,b
37007,0.10,-0.15,-0.18,-2.89,8.03,-6.26,b
37011,0.10,-0.16,-0.19,-3.12,6.24,-4.66,b
37015,0.10,-0.15,-0.18,-3.25,5.93,-3.31,b
37019,0.11,-0.14,-0.16,-3.47,4.68,-3.11,b
37022,0.11,-0.16,-0.19,-1.92,2.44,-4.57,b
37026,0.10,-0.14,-0.17,-1.88,2.42,-3.88,b
37030,0.11,-0.16,-0.20,-1.30,0.07,-3.69,b
37035,0.11,-0.16,-0.19,-0.71,-1.01,-3.81,b
37039,0.10,-0.16,-0.16,-0.58,-1.11,-4.35,b
37043,0.11,-0.17,-0.19,0.80,-1.91,-4.89,b
37046,0.11,-0.15,-0.17,0.57,-1.83,-3.88,b
37050,0.10,-0.15,-0.17,1.40,-2.43,-3.51,b
37054,0.09,-0.13,-0.19,0.70,-2.29,-2.40,b
37058,0.09,-0.11,-0.16,-0.13,-2.85,-0.67,b
37062,0.10,-0.13,-0.17,-0.06,-3.11,0.24,b
37066,0.10,-0.13,-0.16,0.43,-2.98,1.16,b
37070,0.10,-0.12,-0.15,0.88,-3.15,2.09,b
37073,0.10,-0.13,-0.16,1.16,-3.13,2.60,b
37078,0.10,-0.13,-0.16,1.54,-3.77,2.68,b
37082,0.10,-0.12,-0.16,1.24,-5.57,2.06,b
37086,0.11,-0.12,-0.16,1.36,-7.52,0.97,b
37090,0.11,-0.12,-0.16,1.62,-9.25,0.02,b
37094,0.11,-0.12,-0.16,1.63,-10.87,-0.79,b
37097,0.10,-0.13,-0.16,1.87,-11.89,-1.14,b
37101,0.10,-0.13,-0.16,2.00,-12.44,-1.29,b
37105,0.10,-0.13,-0.16,2.03,-12.76,-1.29,b
37109,0.10,-0.13,-0.17,1.88,-13.25,-1.16,b
37113,0.10,-0.13,-0.17,1.75,-13.76,-1.05,b
37117,0.10,-0.13,-0.17,1.64,-14.13,-1.06,b
37122,0.10,-0.14,-0.16,1.60,-14.14,-0.93,b
37125,0.09,-0.14,-0.17,1.43,-13.76,-0.91,b
37129,0.09,-0.14,-0.17,1.47,-12.98,-0.63,b
37133,0.10,-0.14,-0.17,1.48,-12.14,-0.32,b
37137,0.10,-0.14,-0.18,1.46,-12.03,-0.18,b
37141,0.12,-0.14,-0.19,1.45,-12.94,-0.33,b
37145,0.12,-0.14,-0.18,1.42,-14.70,-1.06,b
37149,0.13,-0.15,-0.19,1.59,-16.07,-1.03,b
37152,0.16,-0.15,-0.20,2.15,-17.11,-0.15,b
37156,0.14,-0.15,-0.18,2.07,-18.33,0.37,b
37160,0.14,-0.14,-0.19,1.65,-19.93,1.67,b
37165,0.14,-0.13,-0.18,1.09,-22.70,2.43,b
37169,0.20,-0.13,-0.21,1.75,-24.04,8.71,b
37173,0.11,-0.13,-0.17,1.48,-29.90,4.29,b
37177,0.09,-0.14,-0.17,1.08,-32.52,4.34,b
37180,0.08,-0.14,-0.18,0.75,-34.65,4.70,b
37184,0.04,-0.14,-0.16,0.12,-36.08,2.25,b
37188,0.02,-0.15,-0.16,-0.41,-34.65,1.28,b
37192,0.05,-0.15,-0.18,-0.79,-32.09,2.78,b
37196,0.05,-0.15,-0.17,-0.81,-29.93,3.28,b
37200,0.06,-0.15,-0.18,-0.37,-26.77,5.12,b
37204,0.05,-0.15,-0.17,-0.05,-24.89,4.90,b
37209,0.04,-0.15,-0.16,0.33,-23.61,4.38,b
37212,0.05,-0.15,-0.16,0.39,-21.76,4.92,b
