10550404,1.70,0.38,-2.17,24.38,61.61,75.04
10550408,1.43,0.23,-2.27,17.64,46.52,41.49
10550412,1.27,0.12,-2.33,14.61,35.22,16.76
10550415,1.19,0.04,-2.38,13.73,27.58,-2.35
10550419,1.12,-0.03,-2.43,12.95,22.20,-16.45
10550423,1.06,-0.10,-2.51,12.35,19.02,-26.40
10550427,1.01,-0.12,-2.55,10.90,16.06,-34.11
10550431,1.01,-0.14,-2.59,8.78,13.95,-40.57
10550435,1.00,-0.16,-2.64,5.67,11.87,-46.23
10550438,0.96,-0.16,-2.66,2.39,10.71,-51.20
10550443,0.92,-0.15,-2.66,-0.34,10.53,-56.23
10550447,0.90,-0.16,-2.64,-1.99,10.78,-61.26
10550451,0.88,-0.15,-2.60,-2.45,10.15,-65.66
10550455,0.87,-0.15,-2.59,-3.24,10.56,-71.21
10550458,0.85,-0.14,-2.59,-3.16,10.45,-76.12
10550462,0.83,-0.13,-2.57,-2.75,11.11,-80.74
10550466,0.84,-0.12,-2.57,-3.13,10.94,-85.90
10550470,0.85,-0.11,-2.57,-4.62,9.47,-92.80
10550474,0.86,-0.13,-2.57,-6.61,8.90,-100.04
10550478,0.84,-0.14,-2.59,-8.71,7.03,-106.37
10550481,0.77,-0.21,-2.54,-8.76,5.69,-109.06
10550486,0.73,-0.26,-2.53,-7.37,5.89,-109.99
10550490,0.67,-0.37,-2.54,-4.55,6.78,-106.84
10550494,0.64,-0.50,-2.56,8.85,3.70,-100.27
10550498,-0.22,-1.15,-2.58,-1.32,18.10,-51.53
10550502,0.08,-1.00,-2.63,0.05,39.27,-26.32
10550505,0.65,-0.82,-2.71,-0.32,40.89,-25.05
10550509,0.50,-0.68,-2.73,-3.55,39.36,-21.05
10550513,0.29,-0.57,-2.66,-7.92,40.05,-11.12
10550517,0.25,-0.51,-2.56,-7.95,44.48,1.52
10550521,0.31,-0.47,-2.48,-3.67,49.15,12.11
10550525,0.39,-0.47,-2.44,3.86,54.42,20.66
10550529,0.48,-0.45,-2.52,8.68,58.36,27.89
10550533,0.59,-0.43,-2.60,12.60,55.41,31.37
10550537,0.70,-0.38,-2.68,14.61,52.76,33.35
10550541,0.77,-0.34,-2.77,14.17,49.66,34.32
10550545,0.86,-0.31,-2.85,12.46,45.75,32.38
10550549,0.95,-0.29,-2.92,9.99,37.46,27.65
10550552,1.06,-0.30,-2.96,7.42,27.25,18.64
10550556,1.16,-0.34,-3.00,4.60,18.03,4.61
10550560,1.24,-0.38,-2.97,2.46,10.20,-13.61
10550564,1.17,-0.40,-2.88,4.35,2.60,-30.03
10550568,0.88,-0.40,-2.83,9.55,-9.95,-36.02
10550572,0.90,-0.44,-2.56,23.28,-8.91,-40.66
10550576,0.90,-0.43,-2.32,50.10,-5.07,-46.68
10550580,0.83,-0.41,-2.32,74.27,7.04,-49.55
10550584,0.75,-0.35,-2.29,100.99,15.62,-49.57
10550588,0.56,-0.40,-2.34,123.14,26.41,-41.87
10550592,0.73,-0.32,-2.21,150.11,59.32,-40.99
10550595,0.59,-0.27,-2.56,159.39,58.37,-33.39
10550599,0.69,-0.36,-2.81,157.65,64.57,-30.48
10550603,0.80,-0.38,-2.67,166.72,81.62,-30.69
10550607,0.68,-0.48,-2.88,153.96,88.53,-28.12
10550611,0.86,-0.36,-2.15,182.06,125.77,-32.48
10550616,0.84,-0.19,-2.08,202.60,135.15,-33.50
10550620,0.56,-0.08,-2.80,188.39,133.15,-27.07
10550624,0.75,-0.04,-2.93,172.33,140.48,-26.51
10550628,0.37,-0.16,-3.10,139.40,123.53,-11.50
10550631,0.60,-0.29,-2.66,129.65,117.87,-5.76
10550635,0.68,-0.27,-2.53,124.47,95.73,-2.27
10550639,0.69,-0.28,-2.60,116.84,87.06,0.41
10550643,0.68,-0.25,-2.48,113.87,76.43,4.63
10550647,0.70,-0.26,-2.62,102.13,64.34,8.01
10550651,0.70,-0.27,-2.73,88.36,53.85,11.54
10550656,0.75,-0.29,-2.71,74.92,44.17,12.86
10550660,0.75,-0.30,-2.66,64.77,32.73,13.80
10550663,0.74,-0.32,-2.58,59.08,25.26,15.20
10550667,0.72,-0.33,-2.49,58.28,23.52,17.56
10550671,0.71,-0.34,-2.45,60.36,24.26,20.94
10550675,0.70,-0.34,-2.47,64.20,25.61,25.36
10550679,0.72,-0.33,-2.53,67.15,24.99,27.86
10550682,0.72,-0.33,-2.60,68.79,24.11,29.85
10550686,0.72,-0.32,-2.68,68.46,19.16,31.57
10550690,0.72,-0.32,-2.77,64.27,14.04,32.52
10550694,0.72,-0.30,-2.86,58.47,8.29,33.65
10550699,0.74,-0.27,-3.04,44.52,2.08,34.21
10550703,0.73,-0.15,-3.72,0.49,-15.37,35.09
10550706,0.90,-0.23,-3.66,-36.71,-21.42,31.60
10550710,0.93,-0.19,-3.72,-84.08,-45.61,25.23
10550714,0.91,-0.31,-2.76,-83.74,-30.63,25.16
10550718,0.89,-0.34,-2.46,-77.39,-16.71,24.99
10550722,0.89,-0.27,-2.92,-85.15,-0.92,23.78
10550726,0.99,-0.49,-3.06,-109.81,22.76,11.96
10550730,0.94,-0.34,-3.16,-143.05,61.09,-0.21
10550733,0.73,-0.10,-3.49,-190.05,83.99,-10.25
10550737,0.64,-0.47,-3.39,-234.80,123.34,-10.49
10550742,0.29,-0.21,-3.07,-245.69,175.47,-3.56
10550746,0.66,0.22,-3.55,-279.64,238.11,-10.09
10550750,0.07,-0.26,-3.00,-293.41,242.06,-7.37
10550754,0.37,-0.57,-2.50,-289.50,278.28,-15.78
10550758,-0.07,-0.35,-2.06,-251.90,294.57,6.01
10550762,0.25,-0.48,-2.16,-207.32,318.30,18.75
10550766,0.92,-0.40,-2.78,-187.84,316.36,5.66
10550769,0.87,-0.38,-3.09,-174.12,303.75,-0.39
10550773,0.80,-0.40,-3.04,-150.39,274.35,-5.86
10550777,1.06,-0.31,-2.96,-129.71,240.24,-17.72
10550781,0.90,-0.30,-2.88,-100.68,211.86,-18.94
10550786,1.13,-0.40,-3.03,-76.64,185.82,-31.65
10550790,1.40,-0.39,-3.37,-70.34,157.23,-58.59
10550794,0.96,-0.29,-3.33,-61.39,123.86,-65.45
10550798,1.12,-0.54,-2.84,-37.25,118.33,-82.93
10550802,1.10,-0.50,-2.55,1.40,107.55,-101.83
10550806,0.89,-0.34,-2.50,40.66,92.44,-112.51
10550810,0.78,-0.06,-2.65,66.41,72.31,-112.26
10550813,0.77,-0.26,-2.78,78.14,51.91,-107.16
10550817,0.81,-0.16,-2.53,94.03,34.65,-108.34
10550821,0.57,-0.32,-2.10,127.90,27.68,-97.05
10550825,0.56,-0.34,-2.74,119.57,-2.38,-87.93
10550830,0.59,-0.32,-2.45,138.80,4.01,-79.71
10550834,0.64,-0.21,-2.27,150.60,-7.13,-74.71
10550838,0.57,-0.17,-2.34,156.55,-11.77,-68.39
10550842,0.51,-0.32,-2.79,136.75,-24.17,-61.98
10550846,0.59,-0.12,-2.54,134.46,-26.00,-58.31
10550850,0.47,-0.18,-2.57,116.87,-40.17,-47.75
10550854,0.52,-0.15,-2.63,104.50,-50.52,-35.40
10550858,0.61,-0.15,-2.61,91.52,-57.77,-24.74
10550862,0.74,-0.18,-2.55,82.16,-64.87,-17.83
10550865,0.79,-0.22,-2.54,71.37,-65.88,-13.76
10550870,0.77,-0.28,-2.55,60.67,-62.28,-11.33
10550874,0.73,-0.33,-2.50,51.21,-55.56,-9.01
10550878,0.65,-0.36,-2.35,47.23,-43.80,-4.27
10550882,0.63,-0.36,-2.25,49.16,-29.36,0.33
10550886,0.65,-0.35,-2.30,51.23,-16.27,4.50
10550890,0.65,-0.33,-2.41,52.55,-6.92,8.32
10550893,0.66,-0.33,-2.53,50.34,-0.76,11.01
10550897,0.68,-0.34,-2.62,46.25,3.97,12.38
10550901,0.64,-0.34,-2.84,34.43,4.41,14.36
10550905,0.67,-0.28,-3.29,3.18,7.61,11.94
10550909,0.60,-0.20,-3.81,-52.79,-17.42,8.91
10550914,0.65,-0.34,-3.60,-103.82,-30.59,6.06
10550918,0.56,-0.33,-2.52,-93.17,-13.29,15.03
10550921,0.62,-0.47,-2.32,-86.95,-0.55,18.75
10550925,0.69,-0.17,-3.06,-106.89,3.31,16.95
10550929,0.61,-0.42,-2.80,-119.00,33.10,16.65
10550933,0.62,-0.45,-2.48,-125.19,83.65,15.39
10550937,0.49,-0.51,-3.04,-157.26,109.60,8.05
10550941,0.40,-0.25,-3.59,-206.33,163.15,1.87
10550945,0.24,-0.47,-3.19,-235.69,224.65,-3.01
10550949,0.12,-0.86,-2.87,-258.96,232.90,-10.14
10550952,-0.06,-0.97,-1.56,-205.33,310.54,9.75
10550957,0.32,-0.77,-2.54,-178.00,312.10,6.92
10550961,0.76,-0.53,-3.19,-157.93,322.67,-5.24
10550965,0.74,-0.43,-3.25,-140.19,303.54,-14.80
10550969,0.77,-0.41,-2.93,-107.74,298.85,-14.95
10550973,1.01,-0.51,-3.24,-84.53,277.49,-27.25
10550977,1.30,-0.61,-3.58,-75.84,266.32,-55.18
10550981,1.44,-0.40,-3.21,-60.88,264.81,-98.54
10550985,0.67,-0.33,-3.07,-43.47,244.27,-104.79
10550989,0.44,-0.52,-3.16,-30.15,234.54,-95.14
10550993,1.09,-0.57,-2.72,-1.98,253.48,-112.44
10550998,0.64,-0.64,-2.74,23.65,229.09,-113.29
10551002,0.76,-0.53,-2.57,58.27,217.27,-121.93
10551006,0.94,-0.23,-1.87,102.45,232.69,-136.69
10551010,0.44,-0.31,-2.03,128.92,218.91,-132.23
10551014,-0.02,-0.25,-2.27,157.07,195.45,-113.08
10551018,-0.01,-0.30,-2.17,164.25,195.02,-90.65
10551022,0.18,-0.23,-1.83,187.05,197.23,-75.72
10551026,0.07,-0.30,-2.43,175.40,170.14,-59.23
10551030,0.06,-0.46,-2.43,164.11,159.60,-39.86
10551034,0.17,-0.46,-2.29,158.98,153.78,-25.37
10551038,0.16,-0.39,-2.32,151.14,144.54,-12.01
10551043,0.18,-0.47,-2.36,139.07,141.19,-0.03
10551047,0.14,-0.42,-2.33,133.05,135.69,13.79
10551051,0.33,-0.48,-2.32,129.43,141.05,20.90
10551055,0.44,-0.40,-2.63,116.26,131.38,20.89
10551058,0.32,-0.34,-2.94,91.72,124.52,26.42
10551062,0.29,-0.43,-2.95,71.68,119.28,35.88
10551066,0.27,-0.53,-3.22,47.33,108.29,45.31
10551070,0.67,-0.34,-4.09,-15.30,95.19,33.88
10551074,0.79,-0.37,-4.59,-100.20,79.40,14.16
10551078,0.56,-0.53,-4.54,-178.92,49.02,5.10
10551083,0.08,-1.15,-3.94,-225.43,16.98,25.37
10551086,-0.57,-1.96,-3.28,-235.49,0.64,86.42
10551090,-0.87,-2.61,-3.16,-230.57,-10.67,168.70
10551094,-0.91,-2.97,-3.52,-229.78,-29.97,260.27
10551099,-0.87,-3.09,-3.97,-244.61,-51.41,351.26
10551103,-0.71,-3.02,-4.22,-268.50,-77.17,430.18
10551107,-0.71,-2.91,-4.15,-291.36,-98.57,498.77
10551111,-0.69,-2.70,-3.88,-299.47,-124.31,558.91
10551115,-0.93,-2.48,-3.44,-294.27,-132.60,624.61
10551119,-1.00,-2.17,-2.98,-275.05,-126.89,691.88
10551124,-1.04,-1.89,-2.74,-249.82,-113.82,759.43
10551129,-0.92,-1.62,-2.65,-223.68,-104.16,818.04
10551133,-0.74,-1.29,-2.60,-199.51,-92.89,866.57
10551137,-0.50,-0.96,-2.55,-177.52,-75.86,900.80
10551141,-0.29,-0.67,-2.45,-160.60,-51.29,921.65
10551146,-0.02,-0.42,-2.50,-152.66,-20.32,929.87
10551150,0.32,-0.19,-2.62,-152.56,10.77,923.66
10551154,0.67,0.06,-2.70,-159.35,42.11,903.98
10551158,1.04,0.31,-2.71,-171.84,66.97,873.76
10551162,1.33,0.53,-2.74,-180.94,82.62,835.79
10551165,1.55,0.67,-2.72,-191.47,93.07,795.85
10551170,1.66,0.76,-2.67,-199.59,100.52,757.78
10551174,1.79,0.84,-2.53,-208.17,105.72,721.67
10551178,1.80,0.91,-2.51,-213.26,117.42,689.38
10551182,2.02,0.97,-2.45,-214.44,117.84,653.22
10551186,2.06,1.03,-2.50,-220.47,119.73,619.89
10551190,2.27,1.10,-2.61,-234.58,122.34,581.33
10551194,2.43,1.20,-2.67,-251.92,125.83,539.25
10551198,2.61,1.34,-2.68,-266.06,119.15,494.10
10551202,2.63,1.44,-2.50,-272.22,121.24,451.12
10551206,2.70,1.48,-2.43,-276.42,100.15,407.36
10551211,2.79,1.47,-2.07,-281.34,85.60,362.92
10551215,2.67,1.51,-2.13,-275.83,71.07,328.22
10551219,2.72,1.49,-1.95,-274.91,81.66,294.84
